Account,Category,Amount,from_date,to_date,account_line_type
License & Permits,Unassigned,-19081.55,2023-06-01,2023-06-30,Other
Superannuation,Unassigned,-3648.18,2023-06-01,2023-06-30,Other
Wages and Salaries,Unassigned,0.0,2023-06-01,2023-06-30,Other
Total Cost of Sales,Unassigned,0.0,2023-06-01,2023-06-30,Income
Gross Profit,Unassigned,0.0,2023-06-01,2023-06-30,Other
Advertising,Unassigned,0.0,2023-06-01,2023-06-30,Other
Bank Fees,Unassigned,0.0,2023-06-01,2023-06-30,Other
Borrowing Expenses,Unassigned,359.32,2023-06-01,2023-06-30,Other
Consulting & Accounting,Unassigned,0.0,2023-06-01,2023-06-30,Other
Depreciation,Unassigned,4041.06,2023-06-01,2023-06-30,Other
Horse,Unassigned,0.0,2023-06-01,2023-06-30,Other
Insurance - Business,Unassigned,0.0,2023-06-01,2023-06-30,Other
Interest Expense,Unassigned,0.0,2023-06-01,2023-06-30,Other
Lease repayments,Unassigned,30000.0,2023-06-01,2023-06-30,Other
Motor Vehicle Expenses,Unassigned,0.0,2023-06-01,2023-06-30,Other
Office Expenses,Unassigned,0.0,2023-06-01,2023-06-30,Other
Staff Amenities,Unassigned,0.0,2023-06-01,2023-06-30,Other
Staff Education/Training,Unassigned,0.0,2023-06-01,2023-06-30,Other
Subscriptions,Unassigned,0.0,2023-06-01,2023-06-30,Other
Telephone & Internet,Unassigned,0.0,2023-06-01,2023-06-30,Other
Travel - National,Unassigned,0.0,2023-06-01,2023-06-30,Other
Total Operating Expenses,Unassigned,0.0,2023-06-01,2023-06-30,Operating Expenses
Net Profit,Unassigned,0.0,2023-06-01,2023-06-30,Other
Sales,Total,0.0,2023-06-01,2023-06-30,Income
Total Trading Income,Total,0.0,2023-06-01,2023-06-30,Income
Contractors,Total,0.0,2023-06-01,2023-06-30,Cost of Sales
Cost of Goods Sold,Total,0.0,2023-06-01,2023-06-30,Cost of Sales
Hire of Equipment/Tools,Total,0.0,2023-06-01,2023-06-30,Cost of Sales
Insurance - Warranty,Total,0.0,2023-06-01,2023-06-30,Other
License & Permits,Total,0.0,2023-06-01,2023-06-30,Other
Superannuation,Total,0.0,2023-06-01,2023-06-30,Other
Wages and Salaries,Total,0.0,2023-06-01,2023-06-30,Other
Total Cost of Sales,Total,0.0,2023-06-01,2023-06-30,Income
Gross Profit,Total,0.0,2023-06-01,2023-06-30,Other
Advertising,Total,0.0,2023-06-01,2023-06-30,Other
Bank Fees,Total,0.0,2023-06-01,2023-06-30,Other
Borrowing Expenses,Total,0.0,2023-06-01,2023-06-30,Other
Consulting & Accounting,Total,0.0,2023-06-01,2023-06-30,Other
Depreciation,Total,0.0,2023-06-01,2023-06-30,Other
Horse,Total,0.0,2023-06-01,2023-06-30,Other
Insurance - Business,Total,0.0,2023-06-01,2023-06-30,Other
Interest Expense,Total,0.0,2023-06-01,2023-06-30,Other
Lease repayments,Total,0.0,2023-06-01,2023-06-30,Other
Motor Vehicle Expenses,Total,0.0,2023-06-01,2023-06-30,Other
Office Expenses,Total,0.0,2023-06-01,2023-06-30,Other
Staff Amenities,Total,0.0,2023-06-01,2023-06-30,Other
Staff Education/Training,Total,0.0,2023-06-01,2023-06-30,Other
Subscriptions,Total,0.0,2023-06-01,2023-06-30,Other
Telephone & Internet,Total,0.0,2023-06-01,2023-06-30,Other
Travel - National,Total,0.0,2023-06-01,2023-06-30,Other
Total Operating Expenses,Total,0.0,2023-06-01,2023-06-30,Operating Expenses
Net Profit,Total,0.0,2023-06-01,2023-06-30,Other
Sales,11 York Street Eltham,262465.81,2023-02-01,2023-02-28,Income
Total Trading Income,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Income
Contractors,11 York Street Eltham,9227.27,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,11 York Street Eltham,285.86,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
License & Permits,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Superannuation,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,11 York Street Eltham,1533.65,2023-02-01,2023-02-28,Other
Total Cost of Sales,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Income
Gross Profit,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Advertising,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Bank Fees,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Client Meetings,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Depreciation,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Filing fees,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Interest Expense,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Legal expenses,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Office Expenses,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Subscriptions,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Travel - National,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,11 York Street Eltham,0.0,2023-02-01,2023-02-28,Other
Sales,16 Longs Rd Lower Plenty,110098.27,2023-02-01,2023-02-28,Income
Total Trading Income,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Income
Contractors,16 Longs Rd Lower Plenty,5015.46,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,16 Longs Rd Lower Plenty,85820.38,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
License & Permits,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Superannuation,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,16 Longs Rd Lower Plenty,21757.49,2023-02-01,2023-02-28,Other
Total Cost of Sales,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Income
Gross Profit,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Advertising,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Bank Fees,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Client Meetings,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Depreciation,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Filing fees,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Interest Expense,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Legal expenses,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Office Expenses,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Subscriptions,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Travel - National,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,16 Longs Rd Lower Plenty,0.0,2023-02-01,2023-02-28,Other
Sales,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Income
Total Trading Income,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Income
Contractors,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,17 Pine Avenue Briar Hill,4.55,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
License & Permits,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Superannuation,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Total Cost of Sales,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Income
Gross Profit,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Advertising,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Bank Fees,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Client Meetings,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Depreciation,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Filing fees,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Interest Expense,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Legal expenses,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Office Expenses,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Subscriptions,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Travel - National,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,17 Pine Avenue Briar Hill,0.0,2023-02-01,2023-02-28,Other
Sales,17 Riverview Rd Montmorency,6363.64,2023-02-01,2023-02-28,Income
Total Trading Income,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Income
Contractors,17 Riverview Rd Montmorency,50372.05,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,17 Riverview Rd Montmorency,16504.71,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
License & Permits,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Superannuation,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,17 Riverview Rd Montmorency,7286.22,2023-02-01,2023-02-28,Other
Total Cost of Sales,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Income
Gross Profit,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Advertising,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Bank Fees,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Client Meetings,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Depreciation,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Filing fees,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Interest Expense,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Legal expenses,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Office Expenses,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Subscriptions,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Travel - National,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,17 Riverview Rd Montmorency,0.0,2023-02-01,2023-02-28,Other
Sales,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Income
Total Trading Income,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Income
Contractors,19 Cockatiel Place Diamond Creek,2935.13,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
License & Permits,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Superannuation,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,19 Cockatiel Place Diamond Creek,232.38,2023-02-01,2023-02-28,Other
Total Cost of Sales,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Income
Gross Profit,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Advertising,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Bank Fees,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Client Meetings,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Depreciation,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Filing fees,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Interest Expense,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Legal expenses,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Office Expenses,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Subscriptions,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Travel - National,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,19 Cockatiel Place Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Sales,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Income
Total Trading Income,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Income
Contractors,23 McMahons road Kinglake,26900.0,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,23 McMahons road Kinglake,6333.56,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
License & Permits,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Superannuation,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,23 McMahons road Kinglake,2147.74,2023-02-01,2023-02-28,Other
Total Cost of Sales,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Income
Gross Profit,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Advertising,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Bank Fees,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Client Meetings,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Depreciation,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Filing fees,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Interest Expense,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Legal expenses,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Office Expenses,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Subscriptions,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Travel - National,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,23 McMahons road Kinglake,0.0,2023-02-01,2023-02-28,Other
Sales,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Income
Total Trading Income,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Income
Contractors,29 Meruka Drive,8113.67,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,29 Meruka Drive,8849.0,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
License & Permits,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Superannuation,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,29 Meruka Drive,4902.37,2023-02-01,2023-02-28,Other
Total Cost of Sales,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Income
Gross Profit,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Advertising,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Bank Fees,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Client Meetings,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Depreciation,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Filing fees,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Interest Expense,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Legal expenses,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Office Expenses,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Subscriptions,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Travel - National,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,29 Meruka Drive,0.0,2023-02-01,2023-02-28,Other
Sales,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Income
Total Trading Income,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Income
Contractors,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
License & Permits,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Superannuation,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Total Cost of Sales,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Income
Gross Profit,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Advertising,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Bank Fees,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Client Meetings,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Depreciation,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Filing fees,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Interest Expense,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Legal expenses,6-8 Nokes Court,1163.71,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Office Expenses,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Subscriptions,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Travel - National,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,6-8 Nokes Court,0.0,2023-02-01,2023-02-28,Other
Sales,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Income
Total Trading Income,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Income
Contractors,6-8 Nokes Court Planning,450.0,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
License & Permits,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Superannuation,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Total Cost of Sales,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Income
Gross Profit,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Advertising,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Bank Fees,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Client Meetings,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Depreciation,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Filing fees,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Interest Expense,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Legal expenses,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Motor Vehicle Expenses,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Office Expenses,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Repairs and Maintenance,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Staff Education/Training,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Subscriptions,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Telephone & Internet,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Travel - National,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Total Operating Expenses,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Operating Expenses
Net Profit,6-8 Nokes Court Planning,0.0,2023-02-01,2023-02-28,Other
Sales,73-87 Hillmartin lane Diamond Creek,19646.43,2023-02-01,2023-02-28,Income
Total Trading Income,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Income
Contractors,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Cost of Sales
Cost of Goods Sold,73-87 Hillmartin lane Diamond Creek,2942.54,2023-02-01,2023-02-28,Cost of Sales
Hire of Equipment/Tools,73-87 Hillmartin lane Diamond Creek,2434.0,2023-02-01,2023-02-28,Cost of Sales
Insurance - Warranty,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
License & Permits,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Superannuation,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Wages and Salaries,73-87 Hillmartin lane Diamond Creek,4031.76,2023-02-01,2023-02-28,Other
Total Cost of Sales,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Income
Gross Profit,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Advertising,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Bank Fees,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Client Meetings,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Consulting & Accounting,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Depreciation,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Filing fees,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
Insurance - Business,73-87 Hillmartin lane Diamond Creek,0.0,2023-02-01,2023-02-28,Other
